FirmID,CostSysID,PACP,ACP,PDR,MPE
31,4,0,6,0,0.617945378
31,5,0,8,0,0.608528315
31,6,0,10,0,0.541730769
31,7,0,12,0,0.525775006
31,8,0,14,0,0.477845242
31,9,0,16,0,0.421467143
31,10,0,18,0,0.373337516
31,11,0,20,0,0.377571781
32,1,0,1,0,0.409139846
32,2,0,2,0,0.638493255
32,3,0,4,0,0.552182677
32,4,0,6,0,0.555728028
32,5,0,8,0,0.423926624
32,6,0,10,0,0.455731511
32,7,0,12,0,0.430985318
32,8,0,14,0,0.366942879
32,9,0,16,0,0.253589419
32,10,0,18,0,0.347389402
32,11,0,20,0,0.225160719
33,1,0,1,0,0.422259334
33,2,0,2,0,0.563957707
33,3,0,4,0,0.723300486
33,4,0,6,0,0.499864817
33,5,0,8,0,0.467784224
33,6,0,10,0,0.499269297
33,7,0,12,0,0.446833718
33,8,0,14,0,0.338596478
33,9,0,16,0,0.305618634
33,10,0,18,0,0.294890013
33,11,0,20,0,0.277453399
34,1,0,1,0,0.443961425
34,2,0,2,0,0.605518161
34,3,0,4,0,0.692031343
34,4,0,6,0,0.590126067
34,5,0,8,0,0.487805537
34,6,0,10,0,0.447990896
34,7,0,12,0,0.443750003
34,8,0,14,0,0.438482884
34,9,0,16,0,0.449251044
34,10,0,18,0,0.278058978
34,11,0,20,0,0.371708618
35,1,0,1,0,0.429498288
35,2,0,2,0,0.990976025
35,3,0,4,0,0.976574823
35,4,0,6,0,0.817187607
35,5,0,8,0,0.740445423
35,6,0,10,0,0.772648049
35,7,0,12,0,0.71113229
35,8,0,14,0,0.748029307
35,9,0,16,0,0.484226428
35,10,0,18,0,0.422570296
35,11,0,20,0,0.48056313
36,1,0,1,0,0.491528491
36,2,0,2,0,0.807740992
36,3,0,4,0,0.628582007
36,4,0,6,0,0.575745196
36,5,0,8,0,0.602667467
36,6,0,10,0,0.575185334
36,7,0,12,0,0.529458963
36,8,0,14,0,0.422565262
36,9,0,16,0,0.434708688
36,10,0,18,0,0.398262789
36,11,0,20,0,0.342578303
37,1,0,1,0,0.434036849
37,2,0,2,0,0.834193792
37,3,0,4,0,0.823639525
37,4,0,6,0,0.705661023
37,5,0,8,0,0.658918226
37,6,0,10,0,0.648851089
37,7,0,12,0,0.52510989
37,8,0,14,0,0.530969871
37,9,0,16,0,0.550998922
37,10,0,18,0,0.425034136
37,11,0,20,0,0.425620131
38,1,0,1,0,0.391701078
38,2,0,2,0,0.751911463
38,3,0,4,0,0.607527173
38,4,0,6,0,0.65755616
38,5,0,8,0,0.585860395
38,6,0,10,0,0.50142308
38,7,0,12,0,0.459416864
38,8,0,14,0,0.435076867
38,9,0,16,0,0.416124988
38,10,0,18,0,0.279571765
38,11,0,20,0,0.364413175
39,1,0,1,0,0.405966839
39,2,0,2,0,0.706130333
39,3,0,4,0,0.577951921
39,4,0,6,0,0.636255213
39,5,0,8,0,0.592019498
39,6,0,10,0,0.587840711
39,7,0,12,0,0.362040068
39,8,0,14,0,0.467853201
39,9,0,16,0,0.385279377
39,10,0,18,0,0.355043883
39,11,0,20,0,0.262931721
40,1,0,1,0,0.327230978
40,2,0,2,0,0.558735687
40,3,0,4,0,0.533686808
40,4,0,6,0,0.536931744
40,5,0,8,0,0.429862899
40,6,0,10,0,0.425146687
40,7,0,12,0,0.250889408
40,8,0,14,0,0.323385205
40,9,0,16,0,0.26974807
40,10,0,18,0,0.248230536
40,11,0,20,0,0.210823549
41,1,0,1,0,0.307316885
41,2,0,2,0,0.591652733
41,3,0,4,0,0.435529951
41,4,0,6,0,0.600588688
41,5,0,8,0,0.530833811
41,6,0,10,0,0.42169233
41,7,0,12,0,0.325464715
41,8,0,14,0,0.28327385
41,9,0,16,0,0.214942106
41,10,0,18,0,0.241433987
41,11,0,20,0,0.232450554
42,1,0,1,0,0.367056574
42,2,0,2,0,0.687893632
42,3,0,4,0,0.639956996
42,4,0,6,0,0.524918495
42,5,0,8,0,0.539490942
42,6,0,10,0,0.47621172
42,7,0,12,0,0.375285331
42,8,0,14,0,0.4792519
42,9,0,16,0,0.361239499
42,10,0,18,0,0.386292338
42,11,0,20,0,0.345324466
43,1,0,1,0,0.347850187
43,2,0,2,0,0.521914505
43,3,0,4,0,0.445896676
43,4,0,6,0,0.446741589
43,5,0,8,0,0.351403768
43,6,0,10,0,0.332740915
43,7,0,12,0,0.311795524
43,8,0,14,0,0.302673331
43,9,0,16,0,0.25812007
43,10,0,18,0,0.277634614
43,11,0,20,0,0.221947975
44,1,0,1,0,0.3752235
44,2,0,2,0,0.543558332
44,3,0,4,0,0.450348606
44,4,0,6,0,0.408911409
44,5,0,8,0,0.402452891
44,6,0,10,0,0.352111355
